Category,PCK@0.05_keypoint,PCK@0.1_keypoint,PCK@0.15_keypoint,PCK@0.2_keypoint,PCK@0.05_image,PCK@0.1_image,PCK@0.15_image,PCK@0.2_image
aeroplane,35.1,45.1,52.8,59.6,33.4,43.3,50.9,57.8
bicycle,23.2,32.4,41.4,51.8,21.7,31.4,40.6,50.3
bird,48.0,72.4,81.3,86.2,48.7,72.1,80.4,85.0
boat,24.1,32.2,41.9,50.4,23.7,30.7,38.6,45.3
bottle,29.1,39.7,47.9,54.1,27.9,38.5,47.0,53.3
bus,34.2,42.1,49.8,56.4,29.9,37.2,44.1,49.3
car,30.0,38.3,44.1,51.5,24.3,32.7,38.0,45.5
cat,51.6,62.3,72.3,78.6,51.9,62.5,72.9,79.3
chair,26.9,31.9,40.3,50.5,23.8,28.3,37.1,46.9
cow,41.9,57.3,69.5,77.1,40.8,55.7,67.3,74.3
dog,32.9,48.2,58.8,67.8,30.2,45.5,56.0,65.2
horse,36.8,52.1,61.4,68.4,35.5,49.8,59.2,66.5
motorbike,26.7,39.1,48.5,56.7,25.0,37.9,47.6,56.2
person,44.2,59.0,68.8,75.4,40.4,54.8,65.4,73.3
pottedplant,38.3,51.0,59.2,64.5,34.1,45.4,53.1,59.7
sheep,31.7,46.5,56.9,65.0,26.9,41.0,50.4,59.3
train,43.7,63.1,74.6,81.5,42.3,61.7,73.3,79.8
tvmonitor,39.0,59.0,67.7,73.2,37.3,56.6,65.0,70.8
